walopun,walaupun
manaa,mana
semangaattt,semangat
daper,dapat
pancet,keadaan
badokan,buruk
molorrr,molor
jni,ini
kknt,kkn
buntunggg,buntung
jtbln,juta perbulan 
jt,juta
bln,bulan
danauang,dana uang
entar,sebentar
sobatuda,sobat
delay,lambat
cape,lelah
kalo,kalau
nggak,tidak
jga,juga
dalem,dalam
apasi,apa
udah,sudah
gak,tidak
ga,tidak
duid,uang
yg,yang
via,melalui
agak,sedikit
join,gabung
tau,tahu
jg,juga
rill,betul
skrg,sekarang
km,kamu
bs,bisa
ttp,tetap
tsb,tersebut
cuan,uang
when,kapan
work,kerja
walopun,walaupun
no,tidak
ribet,susah
ngeluarin,keluarkan
dr,dari
kok,kenapa
bs,bisa
nutup,tutup
dapet,dapat
ky,kaya
mashok,masuk
ngerasa,rasa
ni,ini
ngasih,kasih
tp,tapi
gmn,bagaimana
belom,belum
kayak,seperti
tyda,tidak
kaya,seperti
brp,berapa
lolos,lulus
tp,tapi
yg,yang
gmn,bagaimana
kalo,kalau
gua,aku
ngmg,bicara
nanya,tanya
tuh,itu
bner,benar
dalem,dalam
emg,memang
it,itu
kls,kelas
dpt,dapat
first,pertama
kerjain,kerjakan
abis,setelah
ma,sama
sm,sama
ibuk,ibuku
bu,ibu
bapa,bapak
jm, jam
kaa,kak
bgt,banget
lgi,lagi
kta,kita
kt,kita
lgsg,langsung
lngsng,langsung
lngsng,langsung
kakak,kak
kakk,kak
sjaa,saja
trus,terus
hepi,senang
happy,senang
bsk,besok
pengen,ingin
jrg,jarang
info, informasi
iku,ikut
ilang,hilang
gue,aku
gk,tidak
aq,aku
engga,tidak
enga,tidak
emang,memang
emng,memang
full,penuh
kece, keren
bmn,bagaimana
bosen,bosan
ngumpul,kumpul
pgn,ingin
pengen,ingin
cape,lelah
gtu,begitu
gt,begitu
plis,tolong
pleas,tolong
sndrian,sendirian
kpn,kapan
gada,tidak
krn, karena
aje,saja
udh,sudah
nih,ini
ngga,tidak
kmrn,kemarin
gini,begini
kakk,kak
mrka,mereka
tdk,tidak
nerapin,menerapkan
cape,lelah
lom,belum
adaa,ada
jd,jadi
congrats,selamat
congratss,selamat
selese,selesai
males,malas
jauhhhhh,jauh
ad,ada
allahh,allah
dahh,sudah
kedapetan,dapat
undur,mundur
mikirin,mikir
tele,telegram
akuu,aku
abis,habis
gue,aku
kerenn,keren
klo,kalau
ibuk,ibu
ma,sama
anakanakkult,anakanakku
bgd,banget
benarrr,benar
yng,yang
yes,iya
yess,iya
years,tahun 
ago,lalu
yayy,senang
slang,formal
woww,wow
aminn,amin
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata-katanya
hallo,halo
kaka,kakak
ka,kak
daah,dah
aaaaahhhh,ah
yaa,ya
smga,semoga
slalu,selalu
amiin,amin
kk,kakak
trus,terus
sii,sih
nyenengin,menyenangkan
bgt,banget
gemess,gemas
akuuu,aku
jgn,jangan
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,aku
saranin,menyarankan
nemuin,menemukan
yah,ya
mnis2nya,manis-manisnya
gtu,begitu
tu,itu
idolaa,idola
bangett,banget
kaakk,kak
baaiikkk,baik
telaatt,telat
kaak,kak
yg,yang
lg,lagi
skarang,sekarang
sempet,sempat
karna,karena
ngga,enggak
mantep,mantap
loohhh,loh
yeee,ya
baguuuuus,bagus
sampe,sampai
ngikutin,mengikuti
gayany,gayanya
bnk,bang
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
pengen,pengin
kpan,kapan
sma,sama
sdkit,sedikit
bngt,banget
lgu,lagu
bener2,benar-benar
kharismanya,karismanya
aq,aku
jdi,jadi
lgi,lagi
gk,enggak
kek,kayak
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
lakik,laki
siippp,sip
bkn,bukan
nyangka,menyangka
bangettt,banget
kereeen,keren
wihhhhhh,wih
tp,tapi
inget,ingat
bingitsss,banget
dmn,dimana
bird,biru
kaloo,kalo
gimna,bagaimana
tuuh,tuh
nyebur,mencebur
yng,yang
dbuat,dibuat
kn,kan
org,orang
pingin,pengin
bangcat,bangsat
yha,ya
waoohhh,wah
pngn,pengin
tmpt,tempat
dhe,deh
indahhh,indah
bgttt,banget
tuhh,tuh
berarto,berarti
ga,enggak
aamiin,amin
amiiinn,amin
dgn,dengan
aminnnn2,amin-amin
amiiiin,amin
aminnn,amin
amiend,amien
yaaa,ya
ameen,amin
aminnnn,amin
